Report Date,2025-12-01 11:57 EST
Window: Nov 29 2025 10:00 AM ET → Dec 01 2025 09:59 AM ET

Product,Author,Collection,ISBN,Available,OL Sales,POS Sales,Attributes,Notes
"The Fish Counter: Oceans, Rivers, and Streams",Marion Nestle,Food History and Scholarship Books,9781250391193,4,0,1,,
"The Flour Craft Bakery & Cafe Cookbook: Inspired Gluten-Free Recipes for Breakfast, Lunch, Tea, & Celebrations",Heather Hardcastle,"Healthy & Special Diet, Home Baking & Dessert Books",9781599621593,1,1,0,,
From the Sea,Dan Saladino,Food History and Scholarship Books,9781250391179,1,0,1,,
Good Things: Recipes and Rituals to Share with People You Love,Samin Nosrat,Everyday Cooking,9781984857781,69,2,0,,
Googly Food 1000-Piece Puzzle,Brass Monkey,"Puzzles & Merch, Gifts Under $25.00",9780735386570,6,1,0,,
Googly Food Sticker Book,Brass Monkey,"Puzzles & Merch, Gifts Under $25.00",9780735383296,12,1,0,,
Gullah Geechee Home Cooking: Recipes from the Matriarch of Edisto Island,Emily Meggett,American Regional,9781419758782,1,1,0,,
Heartland Masala: An Indian Cookbook From an American Kitchen,Jyoti Mukharji and Auyon Mukharji,International & Ethnic Cookbooks,9781685553289,16,0,2,,
Homestyle Puerto Rican Cooking: Traditional Recipes With a Modern Touch (hardcover),Erisbella Garringa,"American Regional, Everyday Cooking",9780976208891,8,1,0,,
Indian-Jewish Food: Recipes and Stories from the Backstreets of Bondi,Elana Benjamin,International & Ethnic Cookbooks,9780645977011,43,2,0,,
Ingredienti,Marcella Hazan & Victor Hazan,Reference,9781451627367,2,0,1,,
"Ingredients for Revolution: A History of American Feminist Restaurants, Cafes, and Coffeehouses",Alex D. Ketchum,Food History and Scholarship Books,9781988111414,3,0,1,,
"Introduction to Japanese Cuisine: Nature, History and Culture",Japanese Culinary Academy,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9784911188002,20,1,0,,
An Invitation to Indian Cooking: 50th Anniversary Edition,Madhur Jaffrey,International & Ethnic Cookbooks,9780593535684,1,0,1,,
The Irish Kitchen,Cherie Denham and Andrew Montgomery,International & Ethnic Cookbooks,9781036920685,24,2,0,,
La Delicate Patisserie,Nina Metayer,Professional Baking and Pastry Cookbooks,9782732497433,1,1,0,,
"Linger: Salads, Sweets, and Stories to Savor",Hetty Lui McKinnon,"Signed Books, Vegan and Vegetarian Cookbooks",9780593804193,34,0,1,,
Made in Bangladesh: Recipes and Stories from a Home Kitchen,Dina Begum,International & Ethnic Cookbooks,9781784886523,2,0,1,,
Masaleydaar: Classic Indian Spice Blends,Nandita Godbole,International & Ethnic Cookbooks,9781940957272,8,1,0,,
McAtlas: A Global Guide to the Golden Arches (standard edition),Gary He,"Food History and Scholarship Books, Signed Books, Books Our Customers Love",9798986997629,8,2,0,Signed,
"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",Brian Voll,"Everyday Cooking, Gifts Under $25.00",NO BARCODE,6,0,2,,
"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",Brian Voll,"Everyday Cooking, Gifts Under $25.00",NO BARCODE,5,0,1,,
Mini: Contemporary Pâtisserie in Mini Format,Xavi Donnay,Professional Baking and Pastry Cookbooks,9788412571653,2,1,0,,
Mise Journal: Mental Mise en Place,Philip Speer,Puzzles & Merch,Speer,6,3,0,,
Murder Most Puzzling: Poisoned Patisserie 500-Piece Puzzle,Stephanie von Reiswitz,"Puzzles & Merch, Gifts Under $25.00",9781797235769,6,0,1,,
My French Cuisine at Le Poule au Pot,Jean-François Piège,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9782017252917,8,1,0,,
Nerd Baker 2: Tales from the Yeast Indies,Christopher Tan,"Home Baking & Dessert Books, Signed Books",9789815105407,16,1,0,Signed,
Nez #16: Fashion & Fragrance,Nez Magazine Editors,"Periodicals, Food Science",NEZ16,2,1,0,,
"On the Hummus Route: A Journey Between Cities, People, and Dreams","Ariel Rosenthal, Orly Peli-Brohshtein & Dan Alexander","International & Ethnic Cookbooks, Single Subject",9789655729825,8,0,1,,
One Thousand Vines: A New Way to Understand Wine,Pascaline Lepeltier,Beverage Books,9781784729233,2,1,0,,
OP: Art Culinaire #31,Art Culinaire,"Periodicals, Out-of-Print Offers",ART CU 31,2,1,0,,
OP: Lucky Peach Vol 13,Chris Ying,"Periodicals, Out-of-Print Offers",LUCKY 13,1,1,0,,
Original and Gourmet: Vegetables,ItaliaSquisita,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9791281296176,3,3,0,,
"Padma's All American: Tales, Travels, and Recipes from Taste the Nation and Beyond",Padma Lakshmi,"American Regional, Books Our Customers Love",9780593535325,15,15,1,,
"Pakistan: Recipes and Stories from Home Kitchens, Restaurants, and Roadside Stands",Maryam Jillani,"International & Ethnic Cookbooks, Signed Books",9781958417416,4,0,1,,
Parm to Table: Italian American and American Italian Recipes from Ponza to the Bronx,Christian Petroni,"American Regional, International & Ethnic Cookbooks",9780063378582,2,1,0,,
"The Pasta Book: Recipes, Techniques, Inspiration",Marc Vetri and David Joachim,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9780593799475,11,1,0,,
Perch: Soil / Land / Sea,Justin Champagne-Lagarde,Professional Chef and Restaurant Books,9781773272474,2,1,0,,
Petits Propos Culinaires 32,Petits Propos Culinaires,"Periodicals, Food History and Scholarship Books",PPC32,6,1,0,,
Petits Propos Culinaires 50,Petits Propos Culinaires,"Periodicals, Food History and Scholarship Books",PPC50,2,1,0,,
Petits Propos Culinaires 78,Petits Propos Culinaires,"Periodicals, Food History and Scholarship Books",PPC78,2,1,0,,
"Ritz & Escoffier: The Hotelier, the Chef & the Rise of the Leisure Class (Paperback)",Luke Barr,,9780804186315,1,0,1,,
"Salt, Sugar, MSG: Recipes and Stories from a Cantonese American Home",Calvin Eng with Phoebe Melnick,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9780593582084,1,1,0,,
The Set Table: Jewish Food Calendar 2026,"Bentzion Goldman, Niv Turjeman, Matthew Gordon, and Isa Zapata","Puzzles & Merch, Uncommon Finds",NO BARCODE,21,4,0,,
Six Seasons of Pasta: A New Way with Everyone's Favorite Food,Joshua McFadden with Martha Holmberg,"Professional Chef and Restaurant Books, Signed Books, Single Subject, Books Our Customers Love",9781648291920,46,3,2,,
Six Seasons: A New Way With Vegetables,Joshua McFadden with Martha Holmberg,"Professional Chef and Restaurant Books, Everyday Cooking",9781579656317,6,0,1,,
So Good #31: The Magazine of Haute Pâtisserie,Vilbo,Professional Baking and Pastry Cookbooks,SO GO 31,3,1,0,,
So Good #32: The Magazine of Haute Pâtisserie,Vilbo,"Periodicals, Professional Baking and Pastry Cookbooks",SO GO 32,3,1,0,,
Something from Nothing,Alison Roman,"Everyday Cooking, Books Our Customers Love",9781984826411,15,4,0,,
Sourdough Panettone and Viennoiserie,Thomas Teffri-Chambelland,Professional Baking and Pastry Cookbooks,9782957261116,830,1,0,,
"The Sweet Side of Sourdough: 50 Irresistible Recipes for Pastries, Buns, Cakes, Cookies, and More",Caroline Schiff,Home Baking & Dessert Books,9781645674221,1,1,0,,
Tacos Tijuana (English Edition),Guia Domingo,"Good Reads, International & Ethnic Cookbooks, Single Subject",9781739161736,4,1,0,,
Thank You Please Come Again: How Gas Stations Feed & Fuel the American South,Kate Medley,"Food History and Scholarship Books, Good Reads, Signed Books",9780998029351,6,1,0,Bookplate,
Traditional Prekmurian Cookbook,Matej Fišer,International & Ethnic Cookbooks,9789619221334,11,1,0,,
Turtle Island: Foods and Traditions of the Indigenous Peoples of North America,Sean Sherman with Kate Nelson and Kristin Donnelly,"American Regional, International & Ethnic Cookbooks",9780593579237,22,1,1,,
Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,Will Guidara,"Good Reads, Signed Books",9780593418574,375,1,0,Signed,
"The Vegan Creamery: Plant-Based Cheese, Milk, Ice Cream, and More",Miyoko Schinner,Vegan and Vegetarian Cookbooks,9780593836071,1,0,1,,
Vittles Issue 1 (Spring 2025),"Johnathan Nunn, et alia",Periodicals,VIT1,12,1,0,,
Wild Apple Exhibition: Pomological Series Volume 5,"Matt Kaminsky, editor","Reference, Uncommon Finds",Apple 5,29,1,0,,
"Yakiba Grilling Techniques: Shio-yaki, Furishio-yaki, Yuan-yaki, Tare-yaki, and Yakitori",Japanese Culinary Academy,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",9784911188101,5,1,0,,

BACKORDERS

Product,Author,Collection,ISBN,Available,OL Sales,POS Sales,Attributes,Notes
The Japanese Art of Pickling and Fermenting,Yoko Nakazawa,"International & Ethnic Cookbooks, Single Subject",9781923239135,-5,0,1,,
The Japanese Way of Whisky: Japan's Whiskies and How to Enjoy Them,Dave Broom,Beverage Books,9781840919219,-3,1,0,,
The Loaves and Fishes Cookbook [2nd Ed],Ana Pump with Gen Leroy,"American Regional, Everyday Cooking",PUMP,-1,2,0,,
Marine Et Vegetale,Alexandre Couillon,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",9782352552680,-2,0,1,,
A Rainbow Palate: How Chemical Dyes Changed the West's Relationship with Food,Carolyn Cobbold,Food History and Scholarship Books,9780226845531,-3,1,0,,
"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City",Katie Parla,"International & Ethnic Cookbooks, Signed Books",9798986997650,-1,2,0,Signed,
Tastes and Traditions: A Journey Through Menu History,Nathalie Cooke,Food History and Scholarship Books,9781836390671,-4,1,0,,
A Ukrainian Christmas,Yaroslav Hrytsak and Nadiyka Gerbish,"Food History and Scholarship Books, Home Baking & Dessert Books, International & Ethnic Cookbooks, Single Subject",9781408728413,-1,1,0,,

OUT OF STOCK

Product,Author,Collection,ISBN,Available,OL Sales,POS Sales,Attributes,Notes
"Art of Simple Food, The: Notes, Lessons, and Recipes from a Delicious Revolution",Alice Waters,Everyday Cooking,9780307336798,0,0,1,,
Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,Home Baking & Dessert Books,9780744080049,0,0,1,,
"Complete Book of Knife Skills: the Essential Guide to Use, Techniques & Care",Jeffrey Elliot and James Dewan,Professional Chef and Restaurant Books,9780778802563,0,1,0,,
Consider the Eel: Natural and Gastronomic History,Richard Schweid,,9780306813313,0,0,1,,
Food & Drink Infographics: A Visual Guide to Culinary Pleasures,Simone Klabin,,9783836568487,0,0,1,,
"Food, Family and Tradition: Hungarian Kosher Family Racipes and Remembrances",Lynn Kirsche Shapiro,"Food History and Scholarship Books, Good Reads, International & Ethnic Cookbooks",9780989847902,0,0,1,,
Hungarian Cookbook: Old World Recipes for New World Cooks (Paperback),Yolanda Nagy Fintor,,9780781812405,0,0,1,,
I Want to Be Spaghetti!,Kiera Wright-Ruiz and Claudia Lam,Kids' Books,9780593529874,0,0,1,,
The Irish Kitchen and The Irish Bakery Limited Edition Boxed Set,"Cherie Denham, Kitty Corrigan, and Andrew Montgomery","Home Baking & Dessert Books, International & Ethnic Cookbooks",NO BARCODE,0,1,0,,
Magazine F: Tools Issue 20,Magazine F Editors,Periodicals,MAG F 20,0,0,1,,
Mussels: An Homage in 50 Recipes,Sergio Herman,"Professional Chef and Restaurant Books, Single Subject",9798986640693,0,1,0,,
Nez #14: Music and Perfume,Nez Magazine,"Periodicals, Food Science",NO BARCODE,0,1,0,,
Nile Nightshade: An Egyptian Culinary History of the Tomato,Anny Gaul,Food History and Scholarship Books,9780520409149,0,2,0,,
NYC Restaurant Ads: 1981-1998,"Nikki Igol, editor","Food History and Scholarship Books, Uncommon Finds",9781963814118,0,1,0,,
OP: Pie Marches On,Monroe Boston Strause,Out-of-Print Offers,NO BARCODE,0,1,0,,
"Salmon: A Fish, the Earth, and the History of Their Common Fate",Mark Kurlansky,"Food History and Scholarship Books, Good Reads",9781938340864,0,0,1,,
Second Generation: Hungarian and Jewish Classics Reimagined for the Modern Table,Jeremy Salamon and Casey Elsass,International & Ethnic Cookbooks,9780063317239,0,1,1,,
Sicilian Cocktails: Contemporary Island Mixology,Alessandra Dammone,Beverage Books,9788831403337,0,1,0,,
To Die For: A Cookbook of Gravestone Recipes,Rosie Grant,,9780063424401,0,0,1,,
Who's Afraid of Romanée-Conti?: A Shortcut to Drinking,Dan Keeling,Beverage Books,9781787139886,0,1,0,,

PREORDER SALES

Product,Author,Collection,ISBN,Available,OL Sales,POS Sales,Attributes,Notes
Disfrutar Volume 3 in English,"Oriol Castro, Eduard Xatruch, and Mateu Casañas","Professional Chef and Restaurant Books, Preorder",9791399009514,-50,2,0,,
L'Auberge de L'Ill: 65 Recipes Straight from the Water's Edge,Marc Haeberlin,"Professional Chef and Restaurant Books, Preorder, Michelin Starred Restaurants",9781911714347,-27,1,0,,
The Noma Guide to Building Flavour,René Redzepi and The Noma Test Kitchen,"Professional Chef and Restaurant Books, Reference, Signed Books, Preorder",9781579657192,-304,4,0,Signed,
On Eating: The Making and Unmaking of My Appetites,Alicia Kennedy,"Good Reads, Signed Books, Preorder, Books Our Customers Love",9780306836336,-67,1,0,,
