Report Date,2025-12-18 00:29 EST
Window: Dec 17 2025 10:00 AM ET → Dec 18 2025 09:59 AM ET

Product,Author,Vendor,ISBN,Price,Collection,On Hand,Incoming Inv,Attributes,Notes
How to Soften Corners,Jennie Moran,QSMP,9781036905354,38.0,Good Reads,18,0,,
Hugh Johnson's Pocket Wine Book: 2026,Hugh Johnson & Margaret Rand,MBZ,9781784728724,18.99,,1,0,,
Iconophages: A History of Ingesting Images,Jeremie Koering,IPS,9781890951276,36.0,Food History and Scholarship Books,1,0,,
An Illustrated Catalog of American Mushrooms: US Department of Agriculture Maurice B. Walters Collection,"US Department of Agriculture Maurice B. Walters Collection, editors",HCT,9781454963554,60.0,Reference,1,0,,
Instant Ramen Kitchen: 40+ Delicious Recipes That Go Beyond the Packet,Peter J. Kim,CHR,9781797225586,27.95,Single Subject,17,0,,
The Irish Bakery,Cherie Denham and Kitty Corrigan,Montgomery Press,9781399959971,60.0,Home Baking & Dessert Books,3,0,,
The Irish Cookbook,J.P. McMahon,PHAI,9781838660567,49.95,International & Ethnic Cookbooks,1,0,,
The Japanese Art of Pickling and Fermenting,Yoko Nakazawa,RDH,9781923239135,35.0,"International & Ethnic Cookbooks, Single Subject",2,0,,
KAL Postcard,Kitchen Arts & Letters,Kitchen Arts & Letters,KALPOSTCARD,4.0,,426,0,,
"Kissa by Kissa: A 1,000 KM Walk along the Nakasendō (6th Edition)",Craig Mod,SMP,9780998221458,95.0,"Good Reads, Limited Editions",8,0,,
Koks: Faroe Islands Flavor,Poul Andrias Ziska and Tim Ecott,Bent C Forlag,9789997214713,150.0,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",8,0,,
Latin-ish: More Than 100 Recipes Celebrating American Latino Cuisines,Marisel Salazar,COU,9781682688267,35.0,International & Ethnic Cookbooks,1,0,,
Le Bistrot Paul Bert: French Comfort Food from the Parisian Restaurant,Bertrand Auboyneau,ABR,9781419784002,45.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks, Books Our Customers Love",21,0,,
Le Potager des Chefs,Yves Camdeborde,FHCT,9782017892786,88.0,Professional Chef and Restaurant Books,3,0,,
Lebanese Baking: More Than 100 Recipes for Sweet and Savory Baked Goods,Maureen Abood,COU,9781682688984,35.0,Home Baking & Dessert Books,4,0,,
Let's Party: Recipes and Menus for Celebrating Every Day,Dan Pelosi,STG,9781454956785,35.0,Everyday Cooking,7,0,,
Liquid Intelligence: The Art and Science of the Perfect Cocktail,Dave Arnold,WWN,9780393089035,45.0,"Beverage Books, Food Science",2,0,,
"Maison Bernard Loiseau: Le Gout, Le Gout, Le Gout!",Jean-Paul Frétillet,FGLN,9782344069752,110.0,Professional Chef and Restaurant Books,10,0,,
"Menu No 12: Watermelon, Marine, Basil, Tarragon, Mint, Peach",Brian Voll,SMP,NO BARCODE,7.0,Everyday Cooking,38,0,,
"Menu No 4: Duck, Chili, Anise, Apple, Ginger, Lemon",Brian Voll,SMP,NO BARCODE,7.0,"Everyday Cooking, Gifts Under $25.00",8,0,,
"Menu No 6: Pineapple, Parmesan, Earth, Marine, Citrus, Cardamom",Brian Voll,SMP,NO BARCODE,7.0,"Everyday Cooking, Gifts Under $25.00",6,0,,
"Menu No 7: Smoke, Passion Fruit, Cilantro, Lime, Lemon",Brian Voll,SMP,NO BARCODE,7.0,"Everyday Cooking, Gifts Under $25.00",13,0,,
"Menu No 9: Soft Cheese, Herbs, Marine, Vinegar",Brian Voll,SMP,NO BARCODE,7.0,Everyday Cooking,11,0,,
"Menu No. 10: Fire, Fruit, Earth, Marine, Mint, Butter",Brian Voll,SMP,NO BARCODE,7.0,Everyday Cooking,4,0,,
Midweek Recipes: Simple Cooking from an Edinburgh Studio,Jess Elliott Dennison,Elliot's,NO BARCODE,32.0,Everyday Cooking,23,0,,
Modernist Bread at Home,Nathan Myhrvold and Francisco Migoya,Cooking Lab,9781737995142,140.0,"Home Baking & Dessert Books, Signed Books",1,0,Bookplate,
Mokonuts: The Cookbook,Moko Hirayama and Omar Koreitem,PHAI,9781837290062,49.95,Professional Chef and Restaurant Books,20,0,,
My French Cuisine at Le Poule au Pot,Jean-François Piège,FHCT,9782017252917,48.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",6,0,,
The Negroni: A Love Affair with a Classic Cocktail,Matt Hranek,WORA,9781579659646,16.95,Beverage Books,1,0,,
"New Nordic. Cuisine, Aesthetics and Place: A Compendium.","Martin Braathen and Kristian Wikborg Wiese, editors",SSN,9788281541658,34.95,Food History and Scholarship Books,7,0,,
"Padma's All American: Tales, Travels, and Recipes from Taste the Nation and Beyond",Padma Lakshmi,RDH,9780593535325,40.0,"American Regional, Signed Books, Books Our Customers Love",114,0,,
Pains Originaux et d'Inspirations du Monde,Xavier Netry with Celine Violet,FSMP,9782487670181,50.0,Professional Baking and Pastry Cookbooks,2,0,,
Reaping What She Sows:  How Women Are Rebuilding Our Broken Food System,Nancy Matsumoto,MELV,9781685892036,28.99,,9,0,,
Recipes from the American South,Michael Twitty,PHAI,9781837290871,54.95,"American Regional, Signed Books",11,0,Signed,
Rice the Italian Way,ItaliaSquisita,Italia Squisita,9781281296114,75.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks, Single Subject",13,0,,
The River Cottage Fish Book: The Definitive Guide to Sourcing and Cooking Sustainable Fish and Shellfish,Hugh Fearnley-wittingstall,RDH,9781607740056,45.0,,1,0,,
"Roast Figs, Sugar Snow: Food to Warm the Soul (2023 Edition)",Diana Henry,HBG,9781783255764,29.99,Everyday Cooking,4,0,,
"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City",Katie Parla,Katie Parla,9798986997650,45.0,International & Ethnic Cookbooks,5,0,,
"Rome: A Culinary History, Cookbook, and Field Guide to Flavors that Built a City | Slipcased Edition",Katie Parla,Katie Parla,9798986997667,75.0,"International & Ethnic Cookbooks, Signed Books, Books Our Customers Love",13,0,Signed,
Rosetta,Elena Reygadas,Rosetta,9783964360014,125.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",17,0,,
Rustique: Les Desserts de Maison,Yann Couvreur,FSOL,9782263188176,85.0,Professional Baking and Pastry Cookbooks,3,0,,
Sabzi: Vibrant Vegetarian Recipes,Yasmin Khan,WWN,9781324064664,35.0,"International & Ethnic Cookbooks, Vegan and Vegetarian Cookbooks",22,0,,
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,SSN,9781476753836,40.0,Everyday Cooking,1,0,,
Scéal : Seasonal Recipes and Stories from a Modern Irish Bakery,Charlotte Leonard-Kane and Shane Palmer,QDR,9781837833658,35.99,"Home Baking & Dessert Books, Professional Baking and Pastry Cookbooks",6,0,,
The Science of Fermentation,Robin Sherriff,RDH,9798217126477,35.0,Food Science,1,0,,
Scorched: The Ultimate Guide to Barbecuing Fish,Genevieve Taylor,HGUS,9781837830350,35.0,Single Subject,1,0,,
Six Seasons of Pasta: A New Way with Everyone's Favorite Food,Joshua McFadden with Martha Holmberg,WORA,9781648291920,40.0,"Professional Chef and Restaurant Books, Signed Books, Single Subject, Books Our Customers Love",27,0,,
So Good #34: The Magazine of Haute Pâtisserie,Vilbo,JVIL,SO GO 34,42.0,"Periodicals, Professional Baking and Pastry Cookbooks",7,0,,
Something from Nothing,Alison Roman,CWN,9781984826411,37.99,"Everyday Cooking, Books Our Customers Love",21,11,,
Sourdough Panettone and Viennoiserie,Thomas Teffri-Chambelland,FSMP,9782957261116,98.0,Professional Baking and Pastry Cookbooks,825,0,,
The Sportsman at Home: Flavoursome Recipes for Nostalgic Eating,Stephen Harris,QDR,9781837834440,42.0,Everyday Cooking,2,0,,
The Sudanese Kitchen: An Introduction to Local Food and Drink,Omer Al Tijani,Almas Foundation,9781068394492,110.0,International & Ethnic Cookbooks,21,0,,
Tartine Bread,Chad Robertson,CHR,9780811870412,40.0,"Home Baking & Dessert Books, Professional Baking and Pastry Cookbooks",2,0,,
Taste: My Life Through Food,Stanley Tucci,SSN,9781982168018,32.0,Good Reads,3,0,,
Tasting Rome; Fresh Flavors & Forgotten Recipes from an Ancient City,Katie Parla & Kristina Gill,CWN,9780804187183,30.0,"International & Ethnic Cookbooks, Signed Books",2,0,Signed,
Turtle Island: Foods and Traditions of the Indigenous Peoples of North America,Sean Sherman with Kate Nelson and Kristin Donnelly,CWN,9780593579237,45.0,"American Regional, International & Ethnic Cookbooks",13,0,,
Umma: A Korean Mom's Kitchen Wisdom and 100 Family Recipes,Sarah Ahn and Nam Soon Ahn,BCMN,9781954210561,35.0,International & Ethnic Cookbooks,1,4,,
Viandes: Encyclopedie des Produits & des Metiers de Bouche,Jean-Francois Mallet and Emmanuelle Jary,FHCT,9782017216025,95.0,International & Ethnic Cookbooks,4,0,,
Weekend Recipes,Jess Elliott Dennison,Elliott's,9781068691119,32.0,"Everyday Cooking, Books Our Customers Love, Uncommon Finds",46,0,,
"What to Eat Now: The Indispensable Guide to Good Food, How to Find It, and Why It Matters",Marion Nestle,FSG,9780374608699,35.0,"Reference, Signed Books",25,0,,
Wild Apple Exhibition: Pomological Series Volume 5,"Matt Kaminsky, editor",Gnarly Pippins,Apple 5,45.0,"Reference, Uncommon Finds",16,0,,
Wine Simple Perfect Pairings: An Ingenious Guide to Enjoying Wine with Food,Aldo Sohm with Christine Muhlke,CWN,9780593796955,37.99,"Beverage Books, Signed Books",10,0,Signed,

BACKORDERS

Product,Author,Vendor,ISBN,Price,Collection,On Hand,Incoming Inv,Attributes,Notes
Memories of Gascony (Updated Edition),Pierre Koffmann,HBG,9781783256402,29.99,International & Ethnic Cookbooks,-1,0,,
Mont-Saint-Michel: The Nuns' Table,Laurence Du Tilly,FHCT,9782017239697,68.0,International & Ethnic Cookbooks,-1,0,,
Onigiri,Ai Watanabe and Samuel Trifot,SSN,9781974727278,19.99,"International & Ethnic Cookbooks, Single Subject",-1,0,,
Original and Gourmet: Vegetables,ItaliaSquisita,Italia Squisita,9791281296176,46.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks",-5,0,,
Sauces: Classical and Contemporary Sauce Making (fourth edition),James Peterson,HMC,9780544819825,65.0,Professional Chef and Restaurant Books,-1,0,,

OUT OF STOCK

Product,Author,Vendor,ISBN,Price,Collection,On Hand,Incoming Inv,Attributes,Notes
Baking with Fortitude: Sourdough Cakes and Bakes,Dee Rettali,BBY,9781526626967,28.0,Home Baking & Dessert Books,0,0,,
Basque Country: A Culinary Journey Through a Food Lover's Paradise,Marti Buckley,WORA,9781579657772,35.0,International & Ethnic Cookbooks,0,0,,
The Book of St. John,Fergus Henderson & Trevor Gulliver,IPG,9781529103212,49.95,"Professional Chef and Restaurant Books, Michelin Starred Restaurants",0,0,,
Cherry Bombe 28,Cherry Bombe,CB,Cherry 28,25.0,Periodicals,0,0,,
"Fish Butchery: Mastering The Catch, Cut And Craft",Josh Niland,CHR,9781743799192,42.0,"Professional Chef and Restaurant Books, Single Subject",0,0,,
Fish: Cuisiner le Poisson de Marseille a Tokyo,Sylvain Roucayrol,FHCT,9782812321498,90.0,"Professional Chef and Restaurant Books, International & Ethnic Cookbooks, Single Subject",0,0,,
"Flavor Thesaurus, The: A Compendium of Pairings, Recipes and Ideas (revised)",Niki Segnit,BBY,9781608198740,32.0,"Food Science, Reference",0,0,,
"I Dream of Dinner (So You Don't Have To): Low-Effort, High-Reward Recipes",Ali Slagle,RDH,9780593232514,29.99,Everyday Cooking,0,0,,
In the Kusina: My Seasonal Filipino Cooking,Woldy Reyes,CHR,9781797227849,35.0,International & Ethnic Cookbooks,0,12,,
La Pâtisserie de Jeffrey Cagnes,Jeffrey Cagnes,FSOL,9782263180644,85.0,Professional Baking and Pastry Cookbooks,0,0,,
"Life's Sweetest Moments: Simple, Stunning Recipes and Their Heartwarming Stories",Dominique Ansel,HAR,9780063308091,35.0,Home Baking & Dessert Books,0,1,,
Meat: Everything You Need to Know,Pat Lafrieda,SSN,9781476725994,39.99,Single Subject,0,0,,
"My Bread: The Revolutionary No-Work, No-Knead Method, 15th Anniversary Edition",Jim Lahey with Rick Flaste,WWN,9781324076506,35.0,Home Baking & Dessert Books,0,0,,
Old Polish Traditions in the Kitchen and at the Table,Maria Lemnis & Henryk Vitry,CSIR,781804884,14.95,,0,0,,
Samarkand: Recipes and Stories From Central Asia and the Caucasus,Caroline Eden and Eleanor Ford,KYLE,9780857839770,36.99,International & Ethnic Cookbooks,0,0,,
Shabbat: Recipes and Rituals from My Table to Yours,Adeena Sussman,AVY,9780593327777,35.0,"Everyday Cooking, International & Ethnic Cookbooks",0,1,,
Stalking the Wild Asparagus,Euell Gibbons,NBN,9780811739023,17.95,Single Subject,0,0,,
Tasting Chile: A Celebration of Authentic Chilean Foods and Wines,Daniel Joelson,HIP,9780781810289,0.0,International & Ethnic Cookbooks,0,0,,
Wild Honey & Rye: Modern Polish Recipes,Ren Behan,ILK,9781623719180,22.95,,0,0,,

PREORDER SALES

Product,Author,Vendor,ISBN,Price,Collection,On Hand,Incoming Inv,Attributes,Notes
The Noma Guide to Building Flavour,René Redzepi and The Noma Test Kitchen,WORA,9781579657192,45.0,"Professional Chef and Restaurant Books, Reference, Signed Books, Preorder",-341,0,Signed,
